Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
09:03.4,2342,1264,261,2231,448,209,26.11777844,75.84653458,71.48672099,32.83681333,15.788969,35.55748414,24.6789138,62.72554662,66.44327664,175.2462424
09:03.4,2336,1264,257,2230,448,208,26.11777844,75.84653458,71.48672099,32.83681333,15.788969,35.55748414,24.6789138,62.72554662,66.44327664,175.2462424
09:03.4,2341,1265,256,2234,448,209,26.11777844,75.84653458,71.48672099,32.83681333,15.788969,35.55748414,24.6789138,62.72554662,66.44327664,175.2462424
09:03.4,2336,1261,256,2236,448,209,26.13197328,75.80455904,71.44208269,32.83216327,15.79666635,35.55437655,24.68662035,62.68456219,66.39448677,175.2509804
09:03.4,2343,1265,262,2231,449,210,26.13197328,75.80455904,71.44208269,32.83216327,15.79666635,35.55437655,24.68662035,62.68456219,66.39448677,175.2509804
09:03.4,2337,1264,256,2231,447,209,26.13197328,75.80455904,71.44208269,32.83216327,15.79666635,35.55437655,24.68662035,62.68456219,66.39448677,175.2509804
09:03.4,2340,1264,257,2233,448,210,26.13805843,75.77027509,71.40264443,32.82435291,15.80341081,35.54800145,24.70520741,62.65000493,66.35840536,175.2481066
09:03.4,2335,1264,257,2233,448,211,26.13805843,75.77027509,71.40264443,32.82435291,15.80341081,35.54800145,24.70520741,62.65000493,66.35840536,175.2481066
09:03.4,2339,1264,256,2231,448,211,26.13805843,75.77027509,71.40264443,32.82435291,15.80341081,35.54800145,24.70520741,62.65000493,66.35840536,175.2481066
09:03.4,2339,1265,256,2231,448,210,26.13805843,75.77027509,71.40264443,32.82435291,15.80341081,35.54800145,24.70520741,62.65000493,66.35840536,175.2481066
09:03.4,2338,1256,255,2230,451,208,26.13879104,75.74299061,71.36716086,32.81353649,15.80880073,35.53842255,24.73398039,62.62191254,66.33389974,175.2399109
09:03.4,2337,1263,253,2227,448,208,26.13879104,75.74299061,71.36716086,32.81353649,15.80880073,35.53842255,24.73398039,62.62191254,66.33389974,175.2399109
09:03.4,2340,1264,254,2231,447,209,26.13879104,75.74299061,71.36716086,32.81353649,15.80880073,35.53842255,24.73398039,62.62191254,66.33389974,175.2399109
09:03.4,2336,1264,256,2226,447,209,26.13609662,75.7216,71.33475313,32.80008811,15.81295901,35.52626539,24.77072218,62.59908955,66.31854732,175.2275769
09:03.4,2333,1264,252,2229,448,210,26.13609662,75.7216,71.33475313,32.80008811,15.81295901,35.52626539,24.77072218,62.59908955,66.31854732,175.2275769
09:03.4,2334,1262,259,2235,447,209,26.13609662,75.7216,71.33475313,32.80008811,15.81295901,35.52626539,24.77072218,62.59908955,66.31854732,175.2275769
09:03.4,2340,1257,261,2228,446,210,26.13609662,75.7216,71.33475313,32.80008811,15.81295901,35.52626539,24.77072218,62.59908955,66.31854732,175.2275769
09:03.5,2339,1260,257,2224,445,209,26.13015211,75.7040061,71.30456248,32.7848613,15.81663327,35.51276019,24.81240388,62.5787127,66.30868677,175.2098534
09:03.5,2333,1262,256,2237,447,211,26.13015211,75.7040061,71.30456248,32.7848613,15.81663327,35.51276019,24.81240388,62.5787127,66.30868677,175.2098534
09:03.5,2340,1263,254,2229,445,209,26.13015211,75.7040061,71.30456248,32.7848613,15.81663327,35.51276019,24.81240388,62.5787127,66.30868677,175.2098534
09:03.5,2339,1270,256,2224,445,208,26.12101793,75.6884355,71.27593244,32.76952704,15.82049163,35.49979169,24.85687671,62.55837484,66.30162061,175.1861808
09:03.5,2336,1273,263,2227,443,210,26.12101793,75.6884355,71.27593244,32.76952704,15.82049163,35.49979169,24.85687671,62.55837484,66.30162061,175.1861808
09:03.5,2339,1275,255,2233,444,210,26.12101793,75.6884355,71.27593244,32.76952704,15.82049163,35.49979169,24.85687671,62.55837484,66.30162061,175.1861808
09:03.5,2341,1280,256,2226,447,207,26.12101793,75.6884355,71.27593244,32.76952704,15.82049163,35.49979169,24.85687671,62.55837484,66.30162061,175.1861808
09:03.5,2341,1278,256,2224,443,210,26.10880405,75.67405383,71.24862267,32.75499248,15.82535077,35.48857369,24.90309364,62.53646904,66.29560764,175.1571251
09:03.5,2342,1278,253,2224,442,210,26.10880405,75.67405383,71.24862267,32.75499248,15.82535077,35.48857369,24.90309364,62.53646904,66.29560764,175.1571251
09:03.5,2345,1277,254,2226,442,209,26.10880405,75.67405383,71.24862267,32.75499248,15.82535077,35.48857369,24.90309364,62.53646904,66.29560764,175.1571251
09:03.5,2345,1291,263,2227,441,208,26.09347771,75.66055945,71.22242319,32.74051507,15.83217915,35.47857076,24.95137031,62.51228081,66.28962892,175.1228515
09:03.5,2345,1295,257,2223,438,208,26.09347771,75.66055945,71.22242319,32.74051507,15.83217915,35.47857076,24.95137031,62.51228081,66.28962892,175.1228515
09:03.5,2351,1299,256,2226,441,209,26.09347771,75.66055945,71.22242319,32.74051507,15.83217915,35.47857076,24.95137031,62.51228081,66.28962892,175.1228515
09:03.5,2348,1299,254,2224,445,208,26.07617135,75.6480861,71.19663096,32.72579648,15.84135391,35.46921801,25.00420133,62.48650636,66.28439687,175.0835657
09:03.5,2347,1304,257,2225,439,209,26.07617135,75.6480861,71.19663096,32.72579648,15.84135391,35.46921801,25.00420133,62.48650636,66.28439687,175.0835657
09:03.5,2343,1297,256,2224,438,208,26.07617135,75.6480861,71.19663096,32.72579648,15.84135391,35.46921801,25.00420133,62.48650636,66.28439687,175.0835657
09:03.5,2348,1303,251,2224,439,208,26.07617135,75.6480861,71.19663096,32.72579648,15.84135391,35.46921801,25.00420133,62.48650636,66.28439687,175.0835657
09:03.5,2352,1305,256,2226,439,208,26.05817004,75.63662706,71.17012239,32.71085742,15.85255132,35.46016363,25.06437473,62.45997435,66.28107664,175.0388605
09:03.5,2345,1307,256,2224,439,207,26.05817004,75.63662706,71.17012239,32.71085742,15.85255132,35.46016363,25.06437473,62.45997435,66.28107664,175.0388605
09:03.5,2345,1306,254,2224,434,208,26.05817004,75.63662706,71.17012239,32.71085742,15.85255132,35.46016363,25.06437473,62.45997435,66.28107664,175.0388605
09:03.5,2350,1302,256,2224,439,208,26.05817004,75.63662706,71.17012239,32.71085742,15.85255132,35.46016363,25.06437473,62.45997435,66.28107664,175.0388605
09:03.5,2350,1302,262,2222,438,210,26.03883111,75.62415034,71.13996148,32.69579945,15.86485118,35.45113665,25.13538929,62.43131912,66.27979013,174.983587
09:03.5,2347,1303,256,2226,436,208,26.03883111,75.62415034,71.13996148,32.69579945,15.86485118,35.45113665,25.13538929,62.43131912,66.27979013,174.983587
09:03.5,2346,1303,258,2225,438,208,26.03883111,75.62415034,71.13996148,32.69579945,15.86485118,35.45113665,25.13538929,62.43131912,66.27979013,174.983587
09:03.5,2347,1312,257,2224,433,208,26.01627455,75.60663379,71.10165268,32.68083149,15.87712768,35.44210825,25.22044191,62.39685408,66.27887122,174.9090449
09:03.5,2349,1313,255,2224,439,208,26.01627455,75.60663379,71.10165268,32.68083149,15.87712768,35.44210825,25.22044191,62.39685408,66.27887122,174.9090449
