Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
37:10.1,426,422,259,2311,1185,257,55.8675628,68.29690647,49.54383504,31.73526173,14.99662917,32.89367534,47.35587195,67.35914987,47.69079096,94.78106171
37:10.1,401,391,237,2192,1124,240,55.8675628,68.29690647,49.54383504,31.73526173,14.99662917,32.89367534,47.35587195,67.35914987,47.69079096,94.78106171
37:10.1,399,393,240,2194,1124,240,55.90046583,68.30140667,49.53251431,31.73654539,15.00693781,32.89253786,47.39622173,67.38256238,47.67286217,94.81522518
37:10.1,399,394,247,2171,1113,235,55.90046583,68.30140667,49.53251431,31.73654539,15.00693781,32.89253786,47.39622173,67.38256238,47.67286217,94.81522518
37:10.1,410,426,245,2254,1156,245,55.90046583,68.30140667,49.53251431,31.73654539,15.00693781,32.89253786,47.39622173,67.38256238,47.67286217,94.81522518
37:10.1,389,391,240,2174,1117,235,55.90046583,68.30140667,49.53251431,31.73654539,15.00693781,32.89253786,47.39622173,67.38256238,47.67286217,94.81522518
37:10.1,400,401,251,2209,1135,238,55.93508548,68.30775874,49.52319809,31.74106062,15.01628268,32.89247728,47.43781475,67.41179889,47.66098169,94.8553801
37:10.1,385,394,240,2164,1110,235,55.93508548,68.30775874,49.52319809,31.74106062,15.01628268,32.89247728,47.43781475,67.41179889,47.66098169,94.8553801
37:10.1,385,409,239,2159,1104,230,55.93508548,68.30775874,49.52319809,31.74106062,15.01628268,32.89247728,47.43781475,67.41179889,47.66098169,94.8553801
37:10.1,397,398,240,2176,1119,235,55.93508548,68.30775874,49.52319809,31.74106062,15.01628268,32.89247728,47.43781475,67.41179889,47.66098169,94.8553801
37:10.1,392,400,238,2173,1117,238,55.97134065,68.31806499,49.51685241,31.75018531,15.02427023,32.89448137,47.48061857,67.4488804,47.6589343,94.90306848
37:10.1,389,356,237,2162,1113,232,55.97134065,68.31806499,49.51685241,31.75018531,15.02427023,32.89448137,47.48061857,67.4488804,47.6589343,94.90306848
37:10.1,385,385,237,2159,1106,230,55.97134065,68.31806499,49.51685241,31.75018531,15.02427023,32.89448137,47.48061857,67.4488804,47.6589343,94.90306848
37:10.1,413,409,254,2239,1157,246,55.97134065,68.31806499,49.51685241,31.75018531,15.02427023,32.89448137,47.48061857,67.4488804,47.6589343,94.90306848
37:10.1,397,385,240,2183,1126,240,56.00854159,68.33412313,49.51374725,31.76446226,15.0311787,32.89913196,47.52502304,67.49483642,47.66916047,94.96049602
37:10.1,405,400,259,2215,1138,240,56.00854159,68.33412313,49.51374725,31.76446226,15.0311787,32.89913196,47.52502304,67.49483642,47.66916047,94.96049602
37:10.2,406,423,229,2199,1138,240,56.04591391,68.3569097,49.51549764,31.78381991,15.03759642,32.90670274,47.57002453,67.54958241,47.69285775,95.03122178
